word,valid_knot,initial_vertices,removed_vertices,final_vertices,result
ABACABACABCDCD,True,42,39,3,simplified_to_triangle
ABACABACABDCAD,True,42,39,3,simplified_to_triangle
ABACABACABDCDC,True,42,39,3,simplified_to_triangle
ABACABACADACBD,True,42,39,3,simplified_to_triangle
ABACABACADACDC,True,42,39,3,simplified_to_triangle
ABACABACADBCAD,True,42,39,3,simplified_to_triangle
ABACABACADBCDC,True,42,39,3,simplified_to_triangle
ABACABACADCADC,True,42,39,3,simplified_to_triangle
ABACABACADCBDC,True,42,39,3,simplified_to_triangle
ABACABACADCDAC,True,42,39,3,simplified_to_triangle
ABACABACBACDCD,True,42,39,3,simplified_to_triangle
ABACABACBADCAD,True,42,39,3,simplified_to_triangle
ABACABACBDACAD,True,42,39,3,simplified_to_triangle
ABACABACBDBCBD,True,42,39,3,simplified_to_triangle
ABACABACBDCACD,True,42,39,3,simplified_to_triangle
ABACABACBDCBCD,True,42,39,3,simplified_to_triangle
ABACABACDABCAD,True,42,39,3,simplified_to_triangle
ABACABACDABCDC,True,42,39,3,simplified_to_triangle
ABACABACDACADC,True,42,39,3,simplified_to_triangle
ABACABACDBACAD,True,42,39,3,simplified_to_triangle
ABACABACDBCACD,True,42,39,3,simplified_to_triangle
ABACABACDBCBCD,True,42,39,3,simplified_to_triangle
ABACABACDCABAD,True,42,39,3,simplified_to_triangle
ABACABACDCACDC,True,42,39,3,simplified_to_triangle
ABACABADABCABD,True,42,39,3,simplified_to_triangle
ABACABADABCBAD,True,42,39,3,simplified_to_triangle
ABACABADACACAD,True,42,39,3,simplified_to_triangle
ABACABADACBCAD,True,42,39,3,simplified_to_triangle
ABACABADBACABD,True,42,39,3,simplified_to_triangle
ABACABADBCACBD,True,42,39,3,simplified_to_triangle
ABACABADBCBCBD,True,42,39,3,simplified_to_triangle
ABACABCABCBDCD,True,42,39,3,simplified_to_triangle
ABACABCABCDBCD,True,42,39,3,simplified_to_triangle
ABACABCABDCADC,True,42,39,3,simplified_to_triangle
ABACABCABDCDAC,True,42,39,3,simplified_to_triangle
ABACABCACACDCD,True,42,39,3,simplified_to_triangle
ABACABCACADCBD,True,42,39,3,simplified_to_triangle
ABACABCACADCDC,True,42,39,3,simplified_to_triangle
ABACABCACBCDCD,True,42,39,3,simplified_to_triangle
ABACABCACBDCAD,True,42,39,3,simplified_to_triangle
ABACABCACBDCDC,True,42,39,3,simplified_to_triangle
ABACABCACDACBD,True,42,39,3,simplified_to_triangle
ABACABCACDACDC,True,42,39,3,simplified_to_triangle
ABACABCACDBCAD,True,42,39,3,simplified_to_triangle
ABACABCACDBCDC,True,42,39,3,simplified_to_triangle
ABACABCACDCADC,True,42,39,3,simplified_to_triangle
ABACABCACDCBDC,True,42,39,3,simplified_to_triangle
ABACABCACDCDAC,True,42,39,3,simplified_to_triangle
ABACABCACDCDBC,True,42,39,3,simplified_to_triangle
ABACABCADACBDC,True,42,39,3,simplified_to_triangle
ABACABCADACDBC,True,42,39,3,simplified_to_triangle
ABACABCADBCADC,True,42,39,3,simplified_to_triangle
ABACABCADBCDAC,True,42,39,3,simplified_to_triangle
ABACABCADCDCAC,True,42,39,3,simplified_to_triangle
ABACABCADCDCBC,True,42,39,3,simplified_to_triangle
ABACABCBACBDCD,True,42,39,3,simplified_to_triangle
ABACABCBACDBCD,True,42,39,3,simplified_to_triangle
ABACABCBADCADC,True,42,39,3,simplified_to_triangle
ABACABCBADCDAC,True,42,39,3,simplified_to_triangle
ABACABCBCADCAD,True,42,39,3,simplified_to_triangle
ABACABCBCBDCBD,True,42,39,3,simplified_to_triangle
ABACABCBCDACAD,True,42,39,3,simplified_to_triangle
ABACABCBCDBCBD,True,42,39,3,simplified_to_triangle
ABACABCBCDCACD,True,42,39,3,simplified_to_triangle
ABACABCBCDCBCD,True,42,39,3,simplified_to_triangle
ABACABCBDACADC,True,42,39,3,simplified_to_triangle
ABACABCBDACDAC,True,42,39,3,simplified_to_triangle
ABACABCBDBCBDC,True,42,39,3,simplified_to_triangle
ABACABCBDBCDBC,True,42,39,3,simplified_to_triangle
ABACABCBDCACDC,True,42,39,3,simplified_to_triangle
ABACABCBDCBCDC,True,42,39,3,simplified_to_triangle
ABACABCDABCADC,True,42,39,3,simplified_to_triangle
ABACABCDABCDAC,True,42,39,3,simplified_to_triangle
ABACABCDACDCAC,True,42,39,3,simplified_to_triangle
ABACABCDACDCBC,True,42,39,3,simplified_to_triangle
ABACABCDBACADC,True,42,39,3,simplified_to_triangle
ABACABCDBACDAC,True,42,39,3,simplified_to_triangle
ABACABCDBCACDC,True,42,39,3,simplified_to_triangle
ABACABCDBCBCDC,True,42,39,3,simplified_to_triangle
ABACABCDCABADC,True,42,39,3,simplified_to_triangle
ABACABCDCABDAC,True,42,39,3,simplified_to_triangle
ABACABCDCADABC,True,42,39,3,simplified_to_triangle
ABACABCDCADBAC,True,42,39,3,simplified_to_triangle
ABACABCDCBADAC,True,42,39,3,simplified_to_triangle
ABACABCDCDCABC,True,42,39,3,simplified_to_triangle
ABACABCDCDCBAC,True,42,39,3,simplified_to_triangle
ABACABDABACABD,True,42,39,3,simplified_to_triangle
ABACABDABACBAD,True,42,39,3,simplified_to_triangle
ABACABDABCACBD,True,42,39,3,simplified_to_triangle
ABACABDABCADAC,True,42,39,3,simplified_to_triangle
ABACABDABCBCBD,True,42,39,3,simplified_to_triangle
ABACABDABCBDBC,True,42,39,3,simplified_to_triangle
ABACABDACACBDC,True,42,39,3,simplified_to_triangle
ABACABDACACDBC,True,42,39,3,simplified_to_triangle
ABACABDACBCBDC,True,42,39,3,simplified_to_triangle
ABACABDACBCDBC,True,42,39,3,simplified_to_triangle
ABACABDACDCABC,True,42,39,3,simplified_to_triangle
ABACABDADCDCBD,True,42,39,3,simplified_to_triangle
ABACABDADCDCDC,True,42,39,3,simplified_to_triangle
ABACABDBACACBD,True,42,39,3,simplified_to_triangle
ABACABDBACADAC,True,42,39,3,simplified_to_triangle
ABACABDBACBCBD,True,42,39,3,simplified_to_triangle
ABACABDBACBDBC,True,42,39,3,simplified_to_triangle
ABACABDBACDCBC,True,42,39,3,simplified_to_triangle
ABACABDBCACADC,True,42,39,3,simplified_to_triangle
ABACABDBCACDAC,True,42,39,3,simplified_to_triangle
ABACABDBCBCADC,True,42,39,3,simplified_to_triangle
ABACABDBCBCDAC,True,42,39,3,simplified_to_triangle
ABACABDBCBDCBC,True,42,39,3,simplified_to_triangle
ABACABDBCDCDCD,True,42,39,3,simplified_to_triangle
ABACABDCABACAD,True,42,39,3,simplified_to_triangle
ABACABDCABADAC,True,42,39,3,simplified_to_triangle
ABACABDCABCACD,True,42,39,3,simplified_to_triangle
ABACABDCABDCBC,True,42,39,3,simplified_to_triangle
ABACABDCACBABD,True,42,39,3,simplified_to_triangle
ABACABDCBABCAD,True,42,39,3,simplified_to_triangle
ABACABDCBABDBC,True,42,39,3,simplified_to_triangle
ABACABDCBACACD,True,42,39,3,simplified_to_triangle
ABACABDCBCBABD,True,42,39,3,simplified_to_triangle
ABACABDCBCDCBC,True,42,39,3,simplified_to_triangle
ABACABDCBDBABC,True,42,39,3,simplified_to_triangle
ABACABDCDADBDC,True,42,39,3,simplified_to_triangle
ABACABDCDADCAD,True,42,39,3,simplified_to_triangle
ABACABDCDBDADC,True,42,39,3,simplified_to_triangle
ABACABDCDBDCAD,True,42,39,3,simplified_to_triangle
ABACABDCDCDBDC,True,42,39,3,simplified_to_triangle
ABACACABADACAD,True,42,39,3,simplified_to_triangle
ABACACABADBCBD,True,42,39,3,simplified_to_triangle
ABACACABADCACD,True,42,39,3,simplified_to_triangle
ABACACABADCBCD,True,42,39,3,simplified_to_triangle
ABACACABCABDCD,True,42,39,3,simplified_to_triangle
ABACACABCADBCD,True,42,39,3,simplified_to_triangle
ABACACABCBADCD,True,42,39,3,simplified_to_triangle
ABACACABCBDACD,True,42,39,3,simplified_to_triangle
ABACACABCBDCDC,True,42,39,3,simplified_to_triangle
ABACACABCDABCD,True,42,39,3,simplified_to_triangle
ABACACABCDBACD,True,42,39,3,simplified_to_triangle
ABACACABCDBCDC,True,42,39,3,simplified_to_triangle
ABACACABCDCABD,True,42,39,3,simplified_to_triangle
ABACACABCDCBAD,True,42,39,3,simplified_to_triangle
ABACACABDABCBD,True,42,39,3,simplified_to_triangle
ABACACABDACACD,True,42,39,3,simplified_to_triangle
ABACACABDACBCD,True,42,39,3,simplified_to_triangle
ABACACABDBACBD,True,42,39,3,simplified_to_triangle
ABACACABDCBABD,True,42,39,3,simplified_to_triangle
ABACACADABACAD,True,42,39,3,simplified_to_triangle
ABACACADABCACD,True,42,39,3,simplified_to_triangle
ABACACADABCBCD,True,42,39,3,simplified_to_triangle
ABACACADACABAD,True,42,39,3,simplified_to_triangle
ABACACADBABCBD,True,42,39,3,simplified_to_triangle
ABACACADBACACD,True,42,39,3,simplified_to_triangle
ABACACADBACBCD,True,42,39,3,simplified_to_triangle
ABACACADBCBABD,True,42,39,3,simplified_to_triangle
ABACACADCACABD,True,42,39,3,simplified_to_triangle
ABACACADCACBAD,True,42,39,3,simplified_to_triangle
ABACACADCADCAC,True,42,39,3,simplified_to_triangle
ABACACADCBCABD,True,42,39,3,simplified_to_triangle
ABACACADCBCBAD,True,42,39,3,simplified_to_triangle
ABACACADCBDCBC,True,42,39,3,simplified_to_triangle
ABACACADCDACAC,True,42,39,3,simplified_to_triangle
ABACACBABDACBD,True,42,39,3,simplified_to_triangle
ABACACBABDBCAD,True,42,39,3,simplified_to_triangle
ABACACBACABDCD,True,42,39,3,simplified_to_triangle
ABACACBACADBCD,True,42,39,3,simplified_to_triangle
ABACACBACBADCD,True,42,39,3,simplified_to_triangle
ABACACBACBDACD,True,42,39,3,simplified_to_triangle
ABACACBACBDCDC,True,42,39,3,simplified_to_triangle
ABACACBACDABCD,True,42,39,3,simplified_to_triangle
ABACACBACDBACD,True,42,39,3,simplified_to_triangle
ABACACBACDBCDC,True,42,39,3,simplified_to_triangle
ABACACBACDCABD,True,42,39,3,simplified_to_triangle
ABACACBACDCBAD,True,42,39,3,simplified_to_triangle
ABACACBADABCBD,True,42,39,3,simplified_to_triangle
ABACACBADACACD,True,42,39,3,simplified_to_triangle
ABACACBADACBCD,True,42,39,3,simplified_to_triangle
ABACACBADBACBD,True,42,39,3,simplified_to_triangle
ABACACBADCBABD,True,42,39,3,simplified_to_triangle
ABACACBCACBDCD,True,42,39,3,simplified_to_triangle
ABACACBCACDBCD,True,42,39,3,simplified_to_triangle
ABACACBCADCADC,True,42,39,3,simplified_to_triangle
ABACACBCADCDAC,True,42,39,3,simplified_to_triangle
ABACACBCBCADCD,True,42,39,3,simplified_to_triangle
ABACACBCBCDACD,True,42,39,3,simplified_to_triangle
ABACACBCBDCBDC,True,42,39,3,simplified_to_triangle
ABACACBCBDCDBC,True,42,39,3,simplified_to_triangle
ABACACBCDACADC,True,42,39,3,simplified_to_triangle
ABACACBCDACDAC,True,42,39,3,simplified_to_triangle
ABACACBCDBCBDC,True,42,39,3,simplified_to_triangle
ABACACBCDBCDBC,True,42,39,3,simplified_to_triangle
ABACACBCDCACDC,True,42,39,3,simplified_to_triangle
ABACACBCDCBCDC,True,42,39,3,simplified_to_triangle
ABACACBDABACBD,True,42,39,3,simplified_to_triangle
ABACACBDACBABD,True,42,39,3,simplified_to_triangle
ABACACBDBABCAD,True,42,39,3,simplified_to_triangle
ABACACBDBCABAD,True,42,39,3,simplified_to_triangle
ABACACBDCABACD,True,42,39,3,simplified_to_triangle
ABACACBDCADCBC,True,42,39,3,simplified_to_triangle
ABACACBDCBABCD,True,42,39,3,simplified_to_triangle
ABACACBDCBDCAC,True,42,39,3,simplified_to_triangle
ABACACBDCDACBC,True,42,39,3,simplified_to_triangle
ABACACBDCDADCD,True,42,39,3,simplified_to_triangle
ABACACBDCDBCAC,True,42,39,3,simplified_to_triangle
ABACACBDCDBDCD,True,42,39,3,simplified_to_triangle
ABACACDABACACD,True,42,39,3,simplified_to_triangle
ABACACDABACBCD,True,42,39,3,simplified_to_triangle
ABACACDABCBABD,True,42,39,3,simplified_to_triangle
ABACACDACACABD,True,42,39,3,simplified_to_triangle
ABACACDACACBAD,True,42,39,3,simplified_to_triangle
ABACACDACADCAC,True,42,39,3,simplified_to_triangle
ABACACDACBCABD,True,42,39,3,simplified_to_triangle
ABACACDACBCBAD,True,42,39,3,simplified_to_triangle
ABACACDACBDCBC,True,42,39,3,simplified_to_triangle
ABACACDADBDCAD,True,42,39,3,simplified_to_triangle
ABACACDBACBABD,True,42,39,3,simplified_to_triangle
ABACACDBCABACD,True,42,39,3,simplified_to_triangle
ABACACDBCADCBC,True,42,39,3,simplified_to_triangle
ABACACDBCBABCD,True,42,39,3,simplified_to_triangle
ABACACDBCBDCAC,True,42,39,3,simplified_to_triangle
ABACACDBCDACBC,True,42,39,3,simplified_to_triangle
ABACACDBCDADCD,True,42,39,3,simplified_to_triangle
ABACACDBCDBDCD,True,42,39,3,simplified_to_triangle
ABACACDBDADCAD,True,42,39,3,simplified_to_triangle
ABACACDCACDCAC,True,42,39,3,simplified_to_triangle
ABACACDCADCABC,True,42,39,3,simplified_to_triangle
ABACACDCBCABCD,True,42,39,3,simplified_to_triangle
ABACACDCBCBACD,True,42,39,3,simplified_to_triangle
ABACACDCBCDCAC,True,42,39,3,simplified_to_triangle
ABACACDCDACABC,True,42,39,3,simplified_to_triangle
ABACACDCDCACBC,True,42,39,3,simplified_to_triangle
ABACADABACADBC,True,42,39,3,simplified_to_triangle
ABACADABACBADC,True,42,39,3,simplified_to_triangle
ABACADABACBCAD,True,42,39,3,simplified_to_triangle
ABACADABACBDAC,True,42,39,3,simplified_to_triangle
ABACADABACDABC,True,42,39,3,simplified_to_triangle
ABACADABCACBDC,True,42,39,3,simplified_to_triangle
ABACADABCACDBC,True,42,39,3,simplified_to_triangle
ABACADABCBCBDC,True,42,39,3,simplified_to_triangle
ABACADABCBCDBC,True,42,39,3,simplified_to_triangle
ABACADABCDACBC,True,42,39,3,simplified_to_triangle
ABACADABCDCABC,True,42,39,3,simplified_to_triangle
ABACADABDCDCBD,True,42,39,3,simplified_to_triangle
ABACADABDCDCDC,True,42,39,3,simplified_to_triangle
ABACADACABACBD,True,42,39,3,simplified_to_triangle
ABACADACABCBCD,True,42,39,3,simplified_to_triangle
ABACADACABDABC,True,42,39,3,simplified_to_triangle
ABACADACACDCBC,True,42,39,3,simplified_to_triangle
ABACADACADACBC,True,42,39,3,simplified_to_triangle
ABACADACADBABC,True,42,39,3,simplified_to_triangle
ABACADACBABCBD,True,42,39,3,simplified_to_triangle
ABACADACBABDAC,True,42,39,3,simplified_to_triangle
ABACADACBACBCD,True,42,39,3,simplified_to_triangle
ABACADACBADABC,True,42,39,3,simplified_to_triangle
ABACADACBCABAD,True,42,39,3,simplified_to_triangle
ABACADACDADCBD,True,42,39,3,simplified_to_triangle
ABACADACDBDCBD,True,42,39,3,simplified_to_triangle
ABACADACDCADCD,True,42,39,3,simplified_to_triangle
ABACADACDCDACD,True,42,39,3,simplified_to_triangle
ABACADACDCDBDC,True,42,39,3,simplified_to_triangle
ABACADBABCACBD,True,42,39,3,simplified_to_triangle
