word,valid_knot,initial_vertices,removed_vertices,final_vertices,result
ABACABACDCBD,True,36,33,3,simplified_to_triangle
ABACABACDCDC,True,36,33,3,simplified_to_triangle
ABACABCDCBDC,True,36,33,3,simplified_to_triangle
ABACABCDCDBC,True,36,33,3,simplified_to_triangle
ABACABDABCDC,True,36,33,3,simplified_to_triangle
ABACABDBABCD,True,36,33,3,simplified_to_triangle
ABACABDBACDC,True,36,33,3,simplified_to_triangle
ABACABDBCABD,True,36,33,3,simplified_to_triangle
ABACABDBCBAD,True,36,33,3,simplified_to_triangle
ABACABDCABDC,True,36,33,3,simplified_to_triangle
ABACABDCACAD,True,36,33,3,simplified_to_triangle
ABACABDCADBC,True,36,33,3,simplified_to_triangle
ABACABDCBADC,True,36,33,3,simplified_to_triangle
ABACABDCBCAD,True,36,33,3,simplified_to_triangle
ABACABDCBDAC,True,36,33,3,simplified_to_triangle
ABACABDCDABC,True,36,33,3,simplified_to_triangle
ABACABDCDBAC,True,36,33,3,simplified_to_triangle
ABACABDCDCBC,True,36,33,3,simplified_to_triangle
ABACACABDCAD,True,36,33,3,simplified_to_triangle
ABACACADACBD,True,36,33,3,simplified_to_triangle
ABACACADBCAD,True,36,33,3,simplified_to_triangle
ABACACBADCAD,True,36,33,3,simplified_to_triangle
ABACACBDACAD,True,36,33,3,simplified_to_triangle
ABACACBDBCBD,True,36,33,3,simplified_to_triangle
ABACACBDCACD,True,36,33,3,simplified_to_triangle
ABACACBDCBCD,True,36,33,3,simplified_to_triangle
ABACACDABCAD,True,36,33,3,simplified_to_triangle
ABACACDBACAD,True,36,33,3,simplified_to_triangle
ABACACDBCACD,True,36,33,3,simplified_to_triangle
ABACACDBCBCD,True,36,33,3,simplified_to_triangle
ABACACDCABAD,True,36,33,3,simplified_to_triangle
ABACADACACBD,True,36,33,3,simplified_to_triangle
ABACADACADAC,True,36,33,3,simplified_to_triangle
ABACADACBCBD,True,36,33,3,simplified_to_triangle
ABACADACBDBC,True,36,33,3,simplified_to_triangle
ABACADACDCBC,True,36,33,3,simplified_to_triangle
ABACADBABCDC,True,36,33,3,simplified_to_triangle
ABACADBCABDC,True,36,33,3,simplified_to_triangle
ABACADBCACAD,True,36,33,3,simplified_to_triangle
ABACADBCADBC,True,36,33,3,simplified_to_triangle
ABACADBCBADC,True,36,33,3,simplified_to_triangle
ABACADBCBCAD,True,36,33,3,simplified_to_triangle
ABACADBCBDAC,True,36,33,3,simplified_to_triangle
ABACADBCDABC,True,36,33,3,simplified_to_triangle
ABACADBCDCBC,True,36,33,3,simplified_to_triangle
ABACADBDADCD,True,36,33,3,simplified_to_triangle
ABACADCACADC,True,36,33,3,simplified_to_triangle
ABACADCACDAC,True,36,33,3,simplified_to_triangle
ABACADCADCBC,True,36,33,3,simplified_to_triangle
ABACADCBCADC,True,36,33,3,simplified_to_triangle
ABACADCBCDAC,True,36,33,3,simplified_to_triangle
ABACADCBDCBC,True,36,33,3,simplified_to_triangle
ABACADCDACBC,True,36,33,3,simplified_to_triangle
ABACADCDCDCD,True,36,33,3,simplified_to_triangle
ABACBABCDCBD,True,36,33,3,simplified_to_triangle
ABACBABDABCD,True,36,33,3,simplified_to_triangle
ABACBABDACDC,True,36,33,3,simplified_to_triangle
ABACBABDBACD,True,36,33,3,simplified_to_triangle
ABACBABDCABD,True,36,33,3,simplified_to_triangle
ABACBABDCBAD,True,36,33,3,simplified_to_triangle
ABACBACDCBDC,True,36,33,3,simplified_to_triangle
ABACBACDCDBC,True,36,33,3,simplified_to_triangle
ABACBADABADC,True,36,33,3,simplified_to_triangle
ABACBADABCDC,True,36,33,3,simplified_to_triangle
ABACBADBABCD,True,36,33,3,simplified_to_triangle
ABACBADBACDC,True,36,33,3,simplified_to_triangle
ABACBADBCABD,True,36,33,3,simplified_to_triangle
ABACBADBCBAD,True,36,33,3,simplified_to_triangle
ABACBADCABDC,True,36,33,3,simplified_to_triangle
ABACBADCACAD,True,36,33,3,simplified_to_triangle
ABACBADCADBC,True,36,33,3,simplified_to_triangle
ABACBADCBADC,True,36,33,3,simplified_to_triangle
ABACBADCBCAD,True,36,33,3,simplified_to_triangle
ABACBADCDABC,True,36,33,3,simplified_to_triangle
ABACBCABCDCD,True,36,33,3,simplified_to_triangle
ABACBCABDCAD,True,36,33,3,simplified_to_triangle
ABACBCABDCDC,True,36,33,3,simplified_to_triangle
ABACBCADACBD,True,36,33,3,simplified_to_triangle
ABACBCADACDC,True,36,33,3,simplified_to_triangle
ABACBCADBCAD,True,36,33,3,simplified_to_triangle
ABACBCADBCDC,True,36,33,3,simplified_to_triangle
ABACBCADCADC,True,36,33,3,simplified_to_triangle
ABACBCADCBDC,True,36,33,3,simplified_to_triangle
ABACBCBACDCD,True,36,33,3,simplified_to_triangle
