word,valid_knot,initial_vertices,removed_vertices,final_vertices,result
ABACABADCD,True,30,27,3,simplified_to_triangle
ABACABDACD,True,30,27,3,simplified_to_triangle
ABACACDCBD,True,30,27,3,simplified_to_triangle
ABACADABCD,True,30,27,3,simplified_to_triangle
ABACADACDC,True,30,27,3,simplified_to_triangle
ABACADBACD,True,30,27,3,simplified_to_triangle
ABACADCABD,True,30,27,3,simplified_to_triangle
ABACADCBAD,True,30,27,3,simplified_to_triangle
ABACBADACD,True,30,27,3,simplified_to_triangle
ABACBADBDC,True,30,27,3,simplified_to_triangle
ABACBCDCBD,True,30,27,3,simplified_to_triangle
ABACBCDCDC,True,30,27,3,simplified_to_triangle
ABACBDABDC,True,30,27,3,simplified_to_triangle
ABACBDADBC,True,30,27,3,simplified_to_triangle
ABACBDBADC,True,30,27,3,simplified_to_triangle
ABACBDBCDC,True,30,27,3,simplified_to_triangle
ABACDABACD,True,30,27,3,simplified_to_triangle
ABACDACABD,True,30,27,3,simplified_to_triangle
ABACDACBAD,True,30,27,3,simplified_to_triangle
ABACDBABDC,True,30,27,3,simplified_to_triangle
ABACDCACBD,True,30,27,3,simplified_to_triangle
ABACDCBCBD,True,30,27,3,simplified_to_triangle
ABADABCBCD,True,30,27,3,simplified_to_triangle
ABADACACAD,True,30,27,3,simplified_to_triangle
ABADCBABCD,True,30,27,3,simplified_to_triangle
ABADCDADCD,True,30,27,3,simplified_to_triangle
ABADCDCDCD,True,30,27,3,simplified_to_triangle
ABCABDACAD,True,30,27,3,simplified_to_triangle
ABCABDADCB,True,30,27,3,simplified_to_triangle
ABCABDBCBD,True,30,27,3,simplified_to_triangle
ABCABDBCDB,True,30,27,3,simplified_to_triangle
ABCABDCACD,True,30,27,3,simplified_to_triangle
ABCABDCBCD,True,30,27,3,simplified_to_triangle
ABCACABDCD,True,30,27,3,simplified_to_triangle
ABCACACDCD,True,30,27,3,simplified_to_triangle
ABCACADBCD,True,30,27,3,simplified_to_triangle
ABCACADCDC,True,30,27,3,simplified_to_triangle
ABCACBADCD,True,30,27,3,simplified_to_triangle
ABCACBDACD,True,30,27,3,simplified_to_triangle
ABCACDABCD,True,30,27,3,simplified_to_triangle
ABCACDACDC,True,30,27,3,simplified_to_triangle
ABCACDBACD,True,30,27,3,simplified_to_triangle
ABCACDCABD,True,30,27,3,simplified_to_triangle
ABCACDCADB,True,30,27,3,simplified_to_triangle
ABCACDCBAD,True,30,27,3,simplified_to_triangle
ABCACDCDCB,True,30,27,3,simplified_to_triangle
ABCADABCAD,True,30,27,3,simplified_to_triangle
ABCADABDCB,True,30,27,3,simplified_to_triangle
ABCADACDCB,True,30,27,3,simplified_to_triangle
ABCADBACAD,True,30,27,3,simplified_to_triangle
ABCADBADCB,True,30,27,3,simplified_to_triangle
ABCADBCACD,True,30,27,3,simplified_to_triangle
ABCADBCBCD,True,30,27,3,simplified_to_triangle
ABCADBDACB,True,30,27,3,simplified_to_triangle
