word,valid_knot,initial_vertices,removed_vertices,final_vertices,result
ABACAC,True,18,15,3,simplified_to_triangle
ABADCD,True,18,15,3,simplified_to_triangle
ABCBCB,True,18,15,3,simplified_to_triangle
ABCDBD,True,18,15,3,simplified_to_triangle
ABDACD,True,18,15,3,simplified_to_triangle
ABDADC,True,18,15,3,simplified_to_triangle
ABDBCD,True,18,15,3,simplified_to_triangle
ABDCAD,True,18,15,3,simplified_to_triangle
ABDCBD,True,18,15,3,simplified_to_triangle
ABDCDB,True,18,15,3,simplified_to_triangle
ACADBD,True,18,15,3,simplified_to_triangle
ACADCD,True,18,15,3,simplified_to_triangle
ACDACD,True,18,15,3,simplified_to_triangle
ACDBDC,True,18,15,3,simplified_to_triangle
ACDCDC,True,18,15,3,simplified_to_triangle
ADBCBD,True,18,15,3,simplified_to_triangle
ADCBCD,True,18,15,3,simplified_to_triangle
BCBDCD,True,18,15,3,simplified_to_triangle
BCDBCD,True,18,15,3,simplified_to_triangle
BCDCDC,True,18,15,3,simplified_to_triangle
